title,url,publishedAt
《馨香的没药》 - 盖恩夫人,https://www.youtube.com/watch?v=34GjFPhsMcQ,2024-09-20T00:22:58Z
"""講道記錄第151篇-奉獻才能認識神的旨意"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=konwzgjDSc4,2024-09-19T04:00:34Z
《圣经》 新约 卷 1 - 新译本,https://www.youtube.com/watch?v=gszh3yrUPS8,2024-09-18T23:44:57Z
"""講道記錄第150篇-神的旨意與主的心意"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=qY4fDJ8sfiU,2024-09-18T04:00:38Z
"""講道記錄第149篇-對新得救者談奉獻"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=TlOZvW56gc0,2024-09-17T04:00:30Z
《圣经》 旧约 卷 8 - 新译本,https://www.youtube.com/watch?v=Pjoz8AJ7gfU,2024-09-16T23:28:36Z
《交通的秘诀》 - 慕安德烈,https://www.youtube.com/watch?v=pg21ZtQVFlM,2024-09-16T22:46:25Z
"""講道記錄第148篇-用聖潔公義事奉神"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=SQAgYDoN8Gg,2024-09-16T04:00:17Z
《与神同在》 - 劳伦斯,https://www.youtube.com/watch?v=E7OJo6oZS2s,2024-09-15T21:31:29Z
"""講道記錄第147篇-貧窮與富足"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=-I3v3mRijK0,2024-09-15T04:00:00Z
《圣经》 旧约 卷 7 - 新译本,https://www.youtube.com/watch?v=wvv11hAGtXE,2024-09-14T12:13:29Z
"""講道記錄第147篇-貧窮與富足"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=3KZusVcCUyE,2024-09-14T04:00:06Z
《圣经》 旧约 卷 6 - 新译本,https://www.youtube.com/watch?v=EpTY8qdSknc,2024-09-13T12:21:56Z
"""講道記錄第146篇-神的事物就是基督"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=7EdbTowvRKk,2024-09-13T04:00:08Z
先知的职事 - 史百克,https://www.youtube.com/watch?v=uxjz6YCTA-Y,2024-09-12T12:44:06Z
《圣经》 旧约 卷 5 - 新译本,https://www.youtube.com/watch?v=nPIiIvl2yGA,2024-09-12T11:15:29Z
"""講道記錄第145篇-基督自己就是我們的公義,聖潔,救贖"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=v-BOioiK-dU,2024-09-12T04:00:46Z
"""講道記錄第144篇談話記錄(五)"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=mKXiC6SHRwQ,2024-09-11T04:00:36Z
"""講道記錄第143篇-基督是我們的義"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=OGGQxbXGFRM,2024-09-10T04:00:24Z
《圣经》 旧约 卷 4 - 新译本,https://www.youtube.com/watch?v=hHsuURxnojg,2024-09-10T00:10:44Z
"""講道記錄第142篇-一個律的發現"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=DEEfvuCIRQc,2024-09-09T04:00:13Z
"""講道記錄第141篇-主的話是靈與生命"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=lSCabKtD-hs,2024-09-08T04:00:27Z
"""講道記錄第140篇-談話記錄(四)"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=Lmxifccet00,2024-09-07T04:00:20Z
《圣经》 旧约 卷 3 - 新译本,https://www.youtube.com/watch?v=geYno3-mDh8,2024-09-07T02:14:48Z
"""講道記錄第139篇-世界爭戰與教會的關係"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=UbCJCr95LFE,2024-09-06T04:00:21Z
"""講道記錄第138篇-談話記錄(三)"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=DHoC7yS8AJo,2024-09-05T04:00:15Z
《圣经》 旧约 卷 2 - 新译本,https://www.youtube.com/watch?v=OBUMr1uVA8g,2024-09-04T04:54:53Z
"""講道記錄第137篇-談話記錄(二)"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=Ogz2PYRfdk0,2024-09-04T04:00:13Z
"""講道記錄第135篇-作神兒子最初的表顯"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=gpZOM-tqPYE,2024-09-03T04:00:34Z
《圣经》 旧约 卷 1 - 新译本,https://www.youtube.com/watch?v=wbZBD0pySvw,2024-09-02T11:21:32Z
"""講道記錄第135篇-作神兒子最初的表顯"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=KbO4Ov4dj0E,2024-09-02T04:00:12Z
"""講道記錄第134篇-談話記錄(一)"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=p52FiK0WCa0,2024-09-01T04:00:39Z
"""講道記錄第133篇-將受浸者的談話"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=h1JZMfBXSQw,2024-08-31T04:00:24Z
"""講道記錄第132篇-祭司的職事"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=jgiA2hIjcCk,2024-08-30T04:00:28Z
"""講道記錄第131篇-天然生命與舊人的分別,並聖靈的果子"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=j-6aqb9wV0Q,2024-08-29T04:00:28Z
"""講道記錄第129篇-雅各和雅各的試煉"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=UOFZD1jilMo,2024-08-28T04:00:20Z
"""講道記錄第128篇-基督的恩賜與聖靈的管教"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=yEY6GZ9-uco,2024-08-27T04:00:40Z
"""講道記錄第127篇-以撒和以撒的神"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=gUdG-pNT1MI,2024-08-26T04:00:28Z
"""講道記錄第126篇-神揀選亞伯拉罕的目的"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=yaqO7SzwnHA,2024-08-25T04:00:47Z
《启⽰录⼗篇》 - 史百克,https://www.youtube.com/watch?v=ERGs3fiiHhA,2024-08-24T14:38:55Z
"""講道記錄第125篇-亞伯拉罕獻子之試煉"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=obqpXAu5FWY,2024-08-24T04:00:42Z
"""講道記錄第124篇-亞伯拉罕憑信心生以撒"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=RR9PBMs8LOU,2024-08-23T04:00:32Z
"""講道記錄第123篇-神的產業─基督的豐富"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=A4VWTeCTjVQ,2024-08-22T04:00:07Z
"""講道記錄第122篇-苦膽調酒"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=jWTK9akuaNs,2024-08-21T04:00:32Z
《跟随羊群的脚踪》 - 期刊,https://www.youtube.com/watch?v=cYp7eH9xECA,2024-08-20T13:58:58Z
"""講道記錄第121篇-神兩個堅固的根基"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=NjSp90tbVyM,2024-08-20T04:00:13Z
《教会全体的争战》- 史百克,https://www.youtube.com/watch?v=37EhpnjprRw,2024-08-19T11:48:02Z
"""講道記錄第120篇-在神的話裏面的人"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=tkL5vWQGMs0,2024-08-19T04:00:41Z
"""講道記錄第119篇-着迷的現象與原因"" - 倪柝聲講道記錄",https://www.youtube.com/watch?v=pnJ8p0XgAbw,2024-08-18T04:00:36Z
